Radiation_Level,Shielding_Thickness,Temperature,Orbit_Altitude,Cosmic_Ray_Flux,Anomaly_Frequency,Impact_Severity
559.1983637,4.747616403,44.32350605,33986.6104,11618.20762,32,Mild_Impact
55.99715089,10.2420782,130.2076224,5828.933919,7904.927566,42,Mild_Impact
113.3984139,17.32660045,50.81495351,11248.80413,2845.567101,9,Normal
371.9759485,13.84839922,81.85821123,26965.78152,8956.414431,0,Mild_Impact
14.74252183,6.400127488,79.70076484,14611.69454,13540.62662,51,Severe_Impact
195.3818762,6.63933888,85.40143021,6200.059255,4563.520558,8,Normal
95.26490845,15.00375957,17.96621736,24183.3563,538.1467495,5,Normal
133.4677068,14.29525232,117.6015643,5152.001292,13530.8688,28,Severe_Impact
586.6776802,11.93066121,48.84207003,27911.4839,11913.53116,5,Mild_Impact
177.4405821,13.97057203,-81.55740736,10678.78197,775.3260875,18,Normal
61.1232838,10.11877867,128.9774213,28295.31271,663.123051,19,Normal
611.5882072,5.775012749,97.40053925,29558.21585,19257.38084,47,Severe_Impact
910.007881,18.95115821,79.3799729,13353.42588,9414.932538,18,Severe_Impact
31.88264845,2.91148562,-49.05470819,13890.85001,2395.78825,23,Normal
208.9603609,14.22189554,81.97125538,22682.54664,5406.940171,53,Mild_Impact
115.6771273,11.57767946,-62.56625117,18715.87069,16061.75063,49,Severe_Impact
98.48007555,12.3138905,69.68737136,27757.89371,2696.913532,15,Normal
177.9079547,17.5648825,142.8275115,26947.67553,2204.013693,5,Normal
125.9216323,14.01371905,6.986656391,35742.91951,2155.507502,21,Normal
117.3027698,16.83546547,94.24064325,37060.86087,1462.218046,11,Normal
867.1418784,19.29196336,-95.23693715,1169.153982,2153.285754,15,Severe_Impact
220.3933846,3.211127783,44.20184662,39852.93009,1502.989737,7,Normal
323.8831204,17.96295032,104.3988888,15508.76378,5315.648543,32,Mild_Impact
4.124888064,19.6556104,90.46710906,22359.05248,1835.430743,3,Normal
191.9642837,2.546118801,-97.37254853,3552.937341,4694.655464,18,Normal
